Date,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Treadmill duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
2015-02-12,,25108.484375,,,,-23.589279174804688,-46.736961364746094,-23.559736251831055,-46.64712142944336,5.411040782928467,17.030752182006836,0.5608029961585999,1575,,,,,79571143,1025216,,,,,
2015-02-13,,21655.697265625,,,,-23.592853546142578,-46.73014831542969,-23.562891006469727,-46.647369384765625,3.521482467651367,19.090316772460938,0.5930429697036743,1322,,,,,80433783,301381,,,,,
2015-02-14,,36360.4765625,,,,-23.590351104736328,-46.7771110534668,-23.522159576416016,-46.6453971862793,5.935230255126953,25.81023406982422,1.2757742404937744,738,,,,,82456841,338428,,,,,
2015-02-15,,33627.92578125,,,,-23.590761184692383,-46.77067947387695,-23.52644157409668,-46.64701843261719,4.422247886657715,24.920339584350586,0.5099999904632568,1328,,,,,80398053,510855,,,,,
2015-02-16,,38231.37109375,,,,-23.57337188720703,-46.77598190307617,-23.521982192993164,-46.646507263183594,5.947346210479736,23.170364379882812,0.5215361714363098,842,,,,,79038377,291724,,,,,
2015-02-17,,31570.923828125,,,,-23.591386795043945,-46.76933670043945,-23.52642059326172,-46.64718246459961,3.9326210021972656,25.57000160217285,0.5474486351013184,1081,,,,,80746586,618861,,,,,
2015-02-18,,200.44898986816406,,,,-23.570470809936523,-46.6478271484375,-23.570018768310547,-46.64739227294922,0.9968419671058655,1.4588007926940918,0.5348831415176392,222,,,,,86354178,45822,,,,,
2015-02-19,,10229.8056640625,,,,-23.584468841552734,-46.73028564453125,-23.563945770263672,-46.64730453491211,10.407907485961914,17.100948333740234,0.776208758354187,1419,,,,,81589176,1000032,,,,,
2015-02-20,,25350.001953125,,,,-23.592561721801758,-46.73097610473633,-23.56412124633789,-46.646697998046875,2.4339725971221924,20.660037994384766,0.5008991956710815,1647,,,,,76878428,1086018,,,,,
2015-02-21,,18191.234375,,,,-23.582983016967773,-46.76856994628906,-23.526445388793945,-46.64741516113281,2.805011749267578,18.41278076171875,0.5110772848129272,1172,,,,,84373616,360337,,,,,
2015-02-22,,17362.220703125,,,,-23.59113883972168,-46.767127990722656,-23.523839950561523,-46.64763259887695,3.6902763843536377,24.910099029541016,0.5188448429107666,1016,,,,,78318803,404103,,,,,
2015-02-23,,21826.0625,,,,-23.588090896606445,-46.731117248535156,-23.559267044067383,-46.646583557128906,2.021895408630371,12.770098686218262,0.5162363648414612,4509,,,,,78425951,2182260,,,,,
2015-02-24,,23092.556640625,,,,-23.586755752563477,-46.730594635009766,-23.562639236450195,-46.646766662597656,1.590020775794983,16.290050506591797,0.5412023663520813,2207,,,,,79056440,866067,,,,,
2015-02-25,,23424.76171875,,,,-23.590909957885742,-46.73090744018555,-23.56266975402832,-46.64501190185547,3.0547850131988525,18.590269088745117,0.5234500765800476,1790,,,,,81722490,823494,,,,,
2015-02-26,,20757.466796875,,,,-23.589942932128906,-46.730770111083984,-23.556964874267578,-46.6463508605957,3.2260918617248535,11.872227668762207,0.5360037088394165,1467,,,,,80252789,469537,,,,,
2015-02-27,,21837.365234375,,,,-23.57033920288086,-46.77180480957031,-23.5262451171875,-46.64619827270508,2.198683261871338,14.701499938964844,0.5220153331756592,2541,,,,,68885985,1807149,,,,,
2015-02-28,,18074.794921875,,,,-23.591732025146484,-46.76753616333008,-23.52796745300293,-46.64738845825195,1.9330530166625977,13.390302658081055,0.5,949,,,,,80548281,391355,,,,,
2015-03-01,,38919.51171875,,,,-23.598468780517578,-46.774658203125,-23.52727699279785,-46.63489532470703,5.781579494476318,24.39034652709961,0.5096076726913452,1253,,,,,79850779,577792,,,,,
2015-03-02,,14731.7314453125,,,,-23.587610244750977,-46.73323440551758,-23.549434661865234,-46.647422790527344,2.7632791996002197,23.95001983642578,0.5738466382026672,1566,,,,,80697547,759643,,,,,
2015-03-03,,22416.494140625,,,,-23.587635040283203,-46.73086166381836,-23.56265640258789,-46.6473503112793,1.080797553062439,17.281400680541992,0.5186521410942078,1477,,,,,80239384,1182513,,,,,
2015-03-04,,22470.978515625,,,,-23.58997344970703,-46.73104476928711,-23.56011390686035,-46.64747619628906,2.6040942668914795,15.580430030822754,0.5300000309944153,1418,,,,,80437291,743288,,,,,
2015-03-05,,23412.13671875,,,,-23.586891174316406,-46.73081588745117,-23.562896728515625,-46.64756774902344,1.8754342794418335,16.722021102905273,0.5714017748832703,2132,,,,,79634160,1378844,,,,,
2015-03-06,,18026.875,,,,-23.571550369262695,-46.767127990722656,-23.527996063232422,-46.64753341674805,2.157691240310669,15.128175735473633,0.5408326983451843,1192,,,,,79550906,761452,,,,,
2015-03-07,,28468.35546875,,,,-23.602275848388672,-46.78359603881836,-23.523359298706055,-46.645572662353516,1.7923840284347534,21.501026153564453,0.5393514037132263,2494,,,,,77895695,1289220,,,,,
2015-03-08,,34858.390625,,,,-23.592744827270508,-46.7677116394043,-23.523603439331055,-46.64295959472656,3.4324870109558105,22.370019912719727,0.5008991956710815,2479,,,,,79054159,1189511,,,,,
2015-03-09,,689.9677124023438,,,,-23.570837020874023,-46.648502349853516,-23.569805145263672,-46.646697998046875,4.858997344970703,8.030622482299805,0.5614267587661743,57,,,,,86130531,,,,,,
2015-03-10,,88.0,,,,-23.586898803710938,-46.732425689697266,-23.549869537353516,-46.64751052856445,3.58359694480896,16.895471572875977,0.5594640374183655,1500,,,,,78501699,986582,,,,,
